D	P	R
1	1	0.2650290123961128
2	1	0.2650290123961128
3	1	0.2650290123961128
4	1	0.29856180792646203
5	1	0.033532795530349185
6	1	0.033532795530349185
7	1	-0.15697411124320307
8	1	-0.19050690677355225
9	1	-0.19050690677355225
10	1	-0.19050690677355225
1	2	0.2650290123961128
2	2	0.2650290123961128
3	2	0.2650290123961128
4	2	0.29856180792646203
5	2	0.033532795530349185
6	2	0.033532795530349185
7	2	-0.15697411124320307
8	2	-0.19050690677355225
9	2	-0.19050690677355225
10	2	-0.19050690677355225
1	3	0.2650290123961128
2	3	0.2650290123961128
3	3	0.2650290123961128
4	3	0.29856180792646203
5	3	0.033532795530349185
6	3	0.033532795530349185
7	3	-0.15697411124320307
8	3	-0.19050690677355225
9	3	-0.19050690677355225
10	3	-0.19050690677355225
1	4	0.31932128600666837
2	4	0.31932128600666837
3	4	0.31932128600666837
4	4	0.32924200675165977
5	4	0.009920720744991403
6	4	0.009920720744991403
7	4	-0.20686952668879957
8	4	-0.21679024743379097
9	4	-0.21679024743379097
10	4	-0.21679024743379097
1	5	0.31932128600666837
2	5	0.31932128600666837
3	5	0.31932128600666837
4	5	0.32924200675165977
5	5	0.009920720744991403
6	5	0.009920720744991403
7	5	-0.20686952668879957
8	5	-0.21679024743379097
9	5	-0.21679024743379097
10	5	-0.21679024743379097
1	6	0.31932128600666837
2	6	0.31932128600666837
3	6	0.31932128600666837
4	6	0.32924200675165977
5	6	0.009920720744991403
6	6	0.009920720744991403
7	6	-0.20686952668879957
8	6	-0.21679024743379097
9	6	-0.21679024743379097
10	6	-0.21679024743379097
1	7	0.3172136302045063
2	7	0.3172136302045063
3	7	0.3172136302045063
4	7	0.12444725129176139
5	7	0.05294262149086067
6	7	0.05294262149086067
7	7	-0.1415872899578489
8	7	-0.19452991144870957
9	7	-0.19452991144870957
10	7	-0.19452991144870957
1	8	0.3172136302045063
2	8	0.3172136302045063
3	8	0.3172136302045063
4	8	0.12444725129176139
5	8	0.05294262149086067
6	8	0.05294262149086067
7	8	-0.1415872899578489
8	8	-0.19452991144870957
9	8	-0.19452991144870957
10	8	-0.19452991144870957
1	9	0.3172136302045063
2	9	0.3172136302045063
3	9	0.3172136302045063
4	9	0.12444725129176139
5	9	0.05294262149086067
6	9	0.05294262149086067
7	9	-0.1415872899578489
8	9	-0.19452991144870957
9	9	-0.19452991144870957
10	9	-0.19452991144870957
1	10	0.20381347786416193
2	10	0.20381347786416193
3	10	0.20381347786416193
4	10	0.30425932361103436
5	10	0.21175549649831243
6	10	0.21175549649831243
7	10	0.10618707931401274
8	10	-0.1055684171842997
9	10	-0.1055684171842997
10	10	-0.1055684171842997
1	11	0.20381347786416193
2	11	0.20381347786416193
3	11	0.20381347786416193
4	11	0.30425932361103436
5	11	0.21175549649831243
6	11	0.21175549649831243
7	11	0.10618707931401274
8	11	-0.1055684171842997
9	11	-0.1055684171842997
10	11	-0.1055684171842997
1	12	0.20381347786416193
2	12	0.20381347786416193
3	12	0.20381347786416193
4	12	0.30425932361103436
5	12	0.21175549649831243
6	12	0.21175549649831243
7	12	0.10618707931401274
8	12	-0.1055684171842997
9	12	-0.1055684171842997
10	12	-0.1055684171842997
1	13	0.0006787978797974936
2	13	0.0006787978797974936
3	13	0.0006787978797974936
4	13	0.12814289495769055
5	13	0.12746409707789305
6	13	0.12746409707789305
7	13	0.01998157976954118
8	13	-0.10748251730835189
9	13	-0.10748251730835189
10	13	-0.10748251730835189
1	14	0.0006787978797974936
2	14	0.0006787978797974936
3	14	0.0006787978797974936
4	14	0.12814289495769055
5	14	0.12746409707789305
6	14	0.12746409707789305
7	14	0.01998157976954118
8	14	-0.10748251730835189
9	14	-0.10748251730835189
10	14	-0.10748251730835189
1	15	0.0006787978797974936
2	15	0.0006787978797974936
3	15	0.0006787978797974936
4	15	0.12814289495769055
5	15	0.12746409707789305
6	15	0.12746409707789305
7	15	0.01998157976954118
8	15	-0.10748251730835189
9	15	-0.10748251730835189
10	15	-0.10748251730835189
1	16	0.13832195909272885
2	16	0.13832195909272885
3	16	0.13832195909272885
4	16	0.33534954509317705
5	16	0.19702758600044817
6	16	0.19702758600044817
7	16	0.1939201295706559
8	16	-0.0031074564297922658
9	16	-0.0031074564297922658
10	16	-0.0031074564297922658
1	17	0.13832195909272885
2	17	0.13832195909272885
3	17	0.13832195909272885
4	17	0.33534954509317705
5	17	0.19702758600044817
6	17	0.19702758600044817
7	17	0.1939201295706559
8	17	-0.0031074564297922658
9	17	-0.0031074564297922658
10	17	-0.0031074564297922658
1	18	0.13832195909272885
2	18	0.13832195909272885
3	18	0.13832195909272885
4	18	0.33534954509317705
5	18	0.19702758600044817
6	18	0.19702758600044817
7	18	0.1939201295706559
