D	P	R
1	1	0.39111111111111085
2	1	0.16930022573363424
3	1	0.2203389830508473
4	1	0.16431924882629104
5	1	0.12317327766179552
6	1	0.01826484018264839
7	1	-0.0131578947368421
8	1	-0.1130434782608697
9	1	-0.21016166281755203
10	1	-0.3440643863179071
1	2	0.271111111111111
2	2	0.29300567107750447
3	2	0.2018348623853212
4	2	0.16055045871559634
5	2	0.0233545647558386
6	2	0.11832946635730857
7	2	-0.09623430962343096
8	2	-0.08085106382978725
9	2	-0.2355371900826447
10	2	-0.2631578947368421
1	3	0.3004694835680751
2	3	0.3201754385964912
3	3	0.16055045871559614
4	3	0.1786447638603696
5	3	0.17570498915401314
6	3	0.06074766355140178
7	3	-0.019417475728155352
8	3	-0.03124999999999998
9	3	-0.26513569937369513
10	3	-0.32365145228215786
1	4	0.35123042505592866
2	4	0.2173913043478259
3	4	0.15023474178403756
4	4	0.13063063063063063
5	4	0.06697459584295613
6	4	0.1100917431192659
7	4	0.01624129930394429
8	4	-0.11561866125760632
9	4	-0.25635103926097
10	4	-0.24618736383442275
1	5	0.2634146341463414
2	5	0.2941176470588236
3	5	0.21145374449339213
4	5	0.14221218961625293
5	5	0.13320079522862835
6	5	0.020512820512820534
7	5	-0.05116279069767444
8	5	-0.03325942350332596
9	5	-0.25728155339805814
10	5	-0.25096525096525074
1	6	0.3377777777777778
2	6	0.26403326403326394
3	6	0.2421052631578947
4	6	0.03719912472647702
5	6	-0.027484143763213512
6	6	0.08915662650602411
7	6	-0.07239819004524889
8	6	-0.11111111111111112
9	6	-0.21584158415841595
10	6	-0.27701375245579574
1	7	0.31343283582089576
2	7	0.22776572668112807
3	7	0.14416475972540052
4	7	0.12688172043010765
5	7	0.13948919449901787
6	7	0.048054919908466866
7	7	-0.07000000000000003
8	7	-0.20454545454545445
9	7	-0.21712538226299688
10	7	-0.34645669291338554
1	8	0.3199105145413871
2	8	0.33916849015317285
3	8	0.19832985386221308
4	8	0.16630669546436286
5	8	0.12244897959183668
6	8	0.07494646680942182
7	8	-0.11158798283261805
8	8	-0.1284634760705289
9	8	-0.20641282565130245
10	8	-0.3309859154929577
1	9	0.3263157894736839
2	9	0.22004357298474927
3	9	0.2234273318872018
4	9	0.12340425531914898
5	9	0.17062634989200864
6	9	0.05411764705882355
7	9	-0.058333333333333404
8	9	-0.12574850299401197
9	9	-0.2684365781710911
10	9	-0.26459143968871585
1	10	0.2838427947598252
2	10	0.09134615384615387
3	10	0.14660831509846825
4	10	0.10447761194029849
5	10	0.09761388286334065
6	10	0.06465517241379314
7	10	-0.10642570281124505
8	10	-0.08382066276803127
9	10	-0.2302904564315353
10	10	-0.24478178368121437
1	11	0.40740740740740744
2	11	0.19999999999999998
3	11	0.4375
4	11	0.17241379310344826
5	11	0.0681818181818182
6	11	0.23636363636363641
7	11	-0.15000000000000008
8	11	0.10144927536231893
9	11	-0.1294117647058824
10	11	-0.09278350515463919
1	12	0.28205128205128205
2	12	0.4693877551020407
3	12	0.1578947368421052
4	12	0.21739130434782597
5	12	0.23943661971830996
6	12	0.30000000000000004
7	12	0.09615384615384615
8	12	-0.15624999999999997
9	12	-0.05050505050505047
10	12	-0.32394366197183094
1	13	0.4444444444444443
2	13	0.33333333333333337
3	13	0.15789473684210525
4	13	0.07142857142857144
5	13	0.15789473684210528
6	13	0.18518518518518515
7	13	-0.26
8	13	-0.10714285714285718
9	13	-0.140625
10	13	-0.24444444444444458
1	14	0.3333333333333333
2	14	0.1851851851851852
3	14	0.3714285714285714
4	14	0.15
5	14	-0.05882352941176468
6	14	-1.3877787807814457e-17
7	14	-0.24590163934426235
8	14	-0.07407407407407404
9	14	-0.19117647058823528
10	14	-0.10810810810810807
1	15	0.25
2	15	-0.0434782608695652
3	15	-0.1538461538461539
4	15	-0.12195121951219517
5	15	-0.13207547169811323
6	15	-0.06666666666666665
7	15	0.1320754716981132
8	15	-0.20512820512820515
9	15	-0.32142857142857134
10	15	-0.24074074074074076
1	16	0.12000000000000001
2	16	0.33333333333333337
3	16	0.07692307692307693
4	16	-0.07317073170731705
5	16	0.03225806451612898
6	16	-0.16129032258064516
7	16	-0.05882352941176469
8	16	-0.024390243902439067
9	16	-0.29230769230769243
10	16	-0.21428571428571436
1	17	4.163336342344337e-17
2	17	0.4146341463414634
3	17	0.1875
4	17	0.18918918918918917
5	17	0.5454545454545454
6	17	0.40909090909090906
7	17	0.3428571428571428
8	17	-0.15909090909090912
9	17	-0.09859154929577467
10	17	-0.11224489795918374
1	18	0.6818181818181819
2	18	0.19230769230769235
3	18	0.7142857142857142
4	18	0.31034482758620685
5	18	0.4444444444444445
6	18	0.3181818181818182
7	18	0.27027027027027023
8	18	0.4666666666666667
9	18	0.5283018867924527
10	18	0.14285714285714288
1	19	0.3125
2	19	0.5853658536585367
3	19	0.6956521739130436
4	19	0.8499999999999999
5	19	0.5714285714285715
6	19	0.3684210526315789
7	19	0.5348837209302325
8	19	0.8461538461538463
9	19	0.5263157894736841
10	19	0.3000000000000001
1	20	0.8181818181818181
2	20	0.8518518518518519
3	20	1.0
4	20	0.8333333333333334
5	20	1.0
6	20	0.6
7	20	0.7837837837837837
8	20	0.9090909090909091
9	20	0.8536585365853657
10	20	0.7796610169491526
1	21	1.0
2	21	1.0
3	21	0.8181818181818181
4	21	0.9090909090909091
5	21	0.8749999999999999
6	21	1.0
7	21	1.0
8	21	0.8999999999999999
9	21	1.0
10	21	0.9230769230769231
