D	P	R
1	1	0.29963898916967535
2	1	0.27554179566563475
3	1	0.18666666666666654
4	1	0.11111111111111115
5	1	0.0728476821192053
6	1	0.0725552050473186
7	1	-0.07142857142857142
8	1	-0.19463087248322153
9	1	-0.2635135135135135
10	1	-0.2771084337349397
1	2	0.4220779220779223
2	2	0.3251533742331289
3	2	0.12142857142857139
4	2	0.1588785046728973
5	2	0.2396166134185302
6	2	0.0662460567823344
7	2	-0.11821086261980841
8	2	-0.15568862275449108
9	2	-0.2617449664429528
10	2	-0.3315068493150685
1	3	0.2332268370607028
2	3	0.2434210526315788
3	3	0.21194029850746257
4	3	0.265017667844523
5	3	0.1277777777777777
6	3	0.09696969696969698
7	3	0.05466237942122187
8	3	-0.12052117263843651
9	3	-0.1197604790419161
10	3	-0.32867132867132864
1	4	0.2933753943217665
2	4	0.310580204778157
3	4	0.193846153846154
4	4	0.08450704225352117
5	4	0.1547619047619047
6	4	0.0820668693009118
7	4	-0.04191616766467064
8	4	-0.23529411764705868
9	4	-0.17763157894736833
10	4	-0.27450980392156865
1	5	0.29595015576324013
2	5	0.3270440251572326
3	5	0.24025974025974012
4	5	0.13333333333333333
5	5	0.2084805653710248
6	5	0.05396825396825396
7	5	-0.06824925816023737
8	5	-0.07262569832402237
9	5	-0.21052631578947384
10	5	-0.28338762214983715
1	6	0.23668639053254428
2	6	0.2684210526315789
3	6	0.19452054794520549
4	6	0.07006369426751596
5	6	0.07161803713527844
6	6	0.04347826086956521
7	6	-0.013477088948787084
8	6	-0.12621359223300965
9	6	-0.17391304347826078
10	6	-0.311572700296736
1	7	0.2899022801302931
2	7	0.1740412979351032
3	7	0.2782369146005509
4	7	0.13782991202346045
5	7	0.1885714285714284
6	7	0.08426966292134828
7	7	-0.10510510510510512
8	7	-0.09283819628647208
9	7	-0.2590361445783132
10	7	-0.3065015479876162
1	8	0.3479452054794519
2	8	0.23595505617977539
3	8	0.19436619718309844
4	8	0.11484593837535019
5	8	0.15702479338842973
6	8	0.09141274238227141
7	8	-0.002932551319648105
8	8	-0.08284023668639055
9	8	-0.20221606648199444
10	8	-0.3294797687861269
1	9	0.19764011799410033
2	9	0.2506596306068602
3	9	0.20512820512820495
4	9	0.05780346820809253
5	9	0.1451612903225806
6	9	0.06552706552706553
7	9	-0.06738544474393536
8	9	-0.07988980716253444
9	9	-0.22762148337595922
10	9	-0.2566844919786098
1	10	0.37466307277628047
2	10	0.17543859649122812
3	10	0.22424242424242424
4	10	0.16719242902208203
5	10	0.09565217391304344
6	10	0.04972375690607738
7	10	-0.07070707070707076
8	10	-0.056410256410256356
9	10	-0.18933333333333335
10	10	-0.21450151057401812
1	11	0.33333333333333326
2	11	0.3157894736842105
3	11	0.28571428571428553
4	11	0.07964601769911507
5	11	0.12068965517241376
6	11	0.04794984572210015
7	11	0.024390243902439022
8	11	-0.09909909909909909
9	11	-0.1523069159800772
10	11	-0.2275553506800628
1	12	0.3333333333333333
2	12	0.38775510204081637
3	12	0.29203539823008834
4	12	0.17647058823529407
5	12	0.049999999999999975
6	12	0.25396825396825395
7	12	-0.15936324869628712
8	12	-0.16521739130434782
9	12	-0.23076923076923067
10	12	-0.2203389830508474
1	13	0.23076923076923073
2	13	0.07547169811320763
3	13	0.29787234042553196
4	13	0.17391304347826086
5	13	0.267857142857143
6	13	0.09923664122137407
7	13	-0.1134020618556701
8	13	-0.180952380952381
9	13	-0.07964601769911504
10	13	-0.23595505617977527
1	14	0.21904761904761902
2	14	0.14851485148514854
3	14	0.2790697674418606
4	14	-5.204170427930421e-18
5	14	0.09473684210526312
6	14	0.2040816326530612
7	14	0.03296703296703299
8	14	-0.07526881720430108
9	14	-0.21999999999999997
10	14	-0.30129055750157235
1	15	0.34146341463414637
2	15	0.4018691588785046
3	15	0.16326530612244897
4	15	0.17808219178082196
5	15	0.09677419354838712
6	15	0.10091743119266054
7	15	-0.11363636363636362
8	15	-0.038961038961038974
9	15	-0.19587628865979376
10	15	-0.24489795918367344
1	16	0.3670886075949366
2	16	0.3015873015873016
3	16	-0.01098901098901099
4	16	0.2222222222222223
5	16	0.32584269662921356
6	16	0.08433734939759038
7	16	-0.08433734939759036
8	16	-0.12087912087912084
9	16	-0.2753623188405799
10	16	-0.49036454547320857
1	17	0.22222222222222218
2	17	0.2686567164179105
3	17	0.38888888888888895
4	17	0.39743589743589747
5	17	0.26315789473684215
6	17	0.06493506493506493
7	17	0.17567567567567569
8	17	-0.044117647058823546
9	17	-0.04
10	17	-0.1410256410256411
1	18	0.5151515151515152
2	18	0.5483870967741935
3	18	0.5781249999999999
4	18	0.3442622950819673
5	18	0.5818181818181817
6	18	0.5694444444444442
7	18	0.44680851063829796
8	18	0.23076923076923087
9	18	0.22807017543859642
10	18	0.1267605633802817
1	19	0.7547169811320753
2	19	0.6410256410256411
3	19	0.6792452830188681
4	19	0.7234042553191489
5	19	0.6444444444444447
6	19	0.5283018867924527
7	19	0.6216216216216216
8	19	0.6111111111111108
9	19	0.653061224489796
10	19	0.5135135135135135
1	20	0.8333333333333333
2	20	0.725
3	20	0.875
4	20	0.878048780487805
5	20	0.6551724137931034
6	20	0.9069767441860463
7	20	0.7317073170731707
8	20	0.9444444444444445
9	20	0.6857142857142856
10	20	0.7105263157894735
1	21	0.8823529411764705
2	21	0.8857142857142853
3	21	0.9499999999999998
4	21	0.9655172413793103
5	21	0.8965517241379308
6	21	1.0
7	21	0.923076923076923
8	21	0.914285714285714
9	21	0.9642857142857142
10	21	0.9729729729729728
